user_id,title,seconds,ts,user_name
14,The Prestige,881,2025-10-21 00:00:00,Lisa Palmer
19,Titanic,1588,2025-10-21 00:10:00,Ashley Benjamin
91,The Lion King,121,2025-10-21 00:20:00,Elizabeth Walls
81,The Wolf of Wall Street,992,2025-10-21 00:30:00,Michael Hamilton
9,The Godfather,1666,2025-10-21 00:40:00,Jessica Schmitt
18,The Lion King,175,2025-10-21 00:50:00,Matthew Burton
62,Star Wars: Episode V,774,2025-10-21 01:00:00,Melanie Green
43,Schindler's List,1580,2025-10-21 01:10:00,William Warren
14,The Lion King,227,2025-10-21 01:20:00,Derek Moore
95,The Shawshank Redemption,241,2025-10-21 01:30:00,Adam Wilson
48,Star Wars: Episode V,414,2025-10-21 01:40:00,Tony Johnson
92,Parasite,654,2025-10-21 01:50:00,Erica Meyers
93,The Lord of the Rings,1424,2025-10-21 02:00:00,Grace Cordova
5,The Lord of the Rings,436,2025-10-21 02:10:00,Shelia Glass
74,Inception,668,2025-10-21 02:20:00,Karen Powell
83,Inception,1362,2025-10-21 02:30:00,Paula Mitchell
56,The Dark Knight,1314,2025-10-21 02:40:00,Courtney Blackwell
15,Fight Club,563,2025-10-21 02:50:00,Valerie Paul
52,The Avengers,902,2025-10-21 03:00:00,Crystal Schaefer
87,The Departed,992,2025-10-21 03:10:00,Jay Larson
97,Forrest Gump,76,2025-10-21 03:20:00,Yolanda Gibbs
37,Pulp Fiction,1003,2025-10-21 03:30:00,Michael Crane
35,The Prestige,1230,2025-10-21 03:40:00,Lindsey Gray
52,Interstellar,332,2025-10-21 03:50:00,Kimberly Sellers
79,The Matrix,1191,2025-10-21 04:00:00,Jay Sampson
55,The Lord of the Rings,1061,2025-10-21 04:10:00,Stephanie Smith
43,Inception,205,2025-10-21 04:20:00,David Garcia
89,The Lord of the Rings,68,2025-10-21 04:30:00,Robert Anderson
29,Pulp Fiction,156,2025-10-21 04:40:00,Robert Cook
12,Schindler's List,1229,2025-10-21 04:50:00,Christopher Rose MD
88,The Godfather,1325,2025-10-21 05:00:00,Samuel Carson
60,The Dark Knight,1675,2025-10-21 05:10:00,Nichole Carpenter
72,The Godfather,242,2025-10-21 05:20:00,Amanda Murray
20,The Lion King,832,2025-10-21 05:30:00,Geoffrey Cooper
5,The Lion King,357,2025-10-21 05:40:00,Corey Wade
13,Inception,774,2025-10-21 05:50:00,Martin Mcdonald
82,The Avengers,1301,2025-10-21 06:00:00,Veronica Roman
2,The Shawshank Redemption,1710,2025-10-21 06:10:00,Joseph Thomas
60,The Matrix,1380,2025-10-21 06:20:00,Thomas Brown
13,The Shawshank Redemption,710,2025-10-21 06:30:00,Scott Alvarez
47,The Godfather,1480,2025-10-21 06:40:00,Miranda Garcia
43,The Matrix,735,2025-10-21 06:50:00,Susan James
99,Titanic,1140,2025-10-21 07:00:00,Eric Simpson
48,The Prestige,1559,2025-10-21 07:10:00,Sarah Blake
30,Gladiator,1201,2025-10-21 07:20:00,James Wagner
45,Titanic,1103,2025-10-21 07:30:00,Amy Morris
16,The Wolf of Wall Street,173,2025-10-21 07:40:00,Wesley Gaines
76,Gladiator,1357,2025-10-21 07:50:00,Justin Campbell
72,The Prestige,694,2025-10-21 08:00:00,Lee Lopez
89,Fight Club,1251,2025-10-21 08:10:00,Katelyn Coleman
33,Inception,824,2025-10-21 08:20:00,Erika Robertson
51,Schindler's List,1554,2025-10-21 08:30:00,Kristin Diaz
67,Parasite,1305,2025-10-21 08:40:00,Danny Sanders
30,The Lion King,918,2025-10-21 08:50:00,Lauren Bradley
67,Titanic,1200,2025-10-21 09:00:00,Jill Wood
19,The Departed,701,2025-10-21 09:10:00,Suzanne Dixon
34,Inception,250,2025-10-21 09:20:00,Dustin Garcia
32,Inception,1309,2025-10-21 09:30:00,Steven Parks
1,Interstellar,1006,2025-10-21 09:40:00,Nancy Ray
14,Forrest Gump,1663,2025-10-21 09:50:00,Dustin Wheeler
40,The Lion King,1172,2025-10-21 10:00:00,Renee Watson
84,The Godfather,828,2025-10-21 10:10:00,Brenda Dixon
66,Gladiator,1212,2025-10-21 10:20:00,Stephanie Scott
13,The Lion King,1460,2025-10-21 10:30:00,Kathryn Maxwell
3,The Dark Knight,519,2025-10-21 10:40:00,Michael Donovan
17,The Matrix,283,2025-10-21 10:50:00,Ellen Mcmahon
94,The Lord of the Rings,1650,2025-10-21 11:00:00,Andrea Villa
73,Schindler's List,1642,2025-10-21 11:10:00,Marie Harris
15,The Matrix,189,2025-10-21 11:20:00,Thomas Hunt
57,Parasite,1252,2025-10-21 11:30:00,Caleb Lewis
46,Pulp Fiction,396,2025-10-21 11:40:00,Tony Oliver
33,Titanic,1347,2025-10-21 11:50:00,Matthew Perez
71,The Godfather,274,2025-10-21 12:00:00,Edward Gross
91,Titanic,1258,2025-10-21 12:10:00,Megan Miller
70,The Departed,1503,2025-10-21 12:20:00,Pamela Warner
92,The Avengers,603,2025-10-21 12:30:00,Alan Mason
8,The Lion King,858,2025-10-21 12:40:00,Brandon Khan
66,The Shawshank Redemption,98,2025-10-21 12:50:00,Gregory Henderson
12,Gladiator,1278,2025-10-21 13:00:00,Angela Bailey
42,The Godfather,1797,2025-10-21 13:10:00,Brandon Baker
54,Inception,435,2025-10-21 13:20:00,Joshua Alvarez
26,The Lord of the Rings,1326,2025-10-21 13:30:00,Brian Obrien
46,The Avengers,638,2025-10-21 13:40:00,Tanya Gray
49,The Prestige,218,2025-10-21 13:50:00,Isaac Flores
38,The Avengers,178,2025-10-21 14:00:00,John Buchanan
20,Fight Club,1795,2025-10-21 14:10:00,Tara Wallace
62,Titanic,1684,2025-10-21 14:20:00,Matthew Vazquez
91,Titanic,111,2025-10-21 14:30:00,Jonathan Hernandez
25,The Matrix,271,2025-10-21 14:40:00,William Meza
35,Gladiator,80,2025-10-21 14:50:00,Jonathon Harrison
46,Titanic,80,2025-10-21 15:00:00,Christine Olson
81,The Departed,1118,2025-10-21 15:10:00,Amy Gonzalez
